team,team_fastr,stadium,is_current,stadium_name,lat,lon,altitude,heading,first_game_date,last_game_date,surface_type,roof_type,address,city,state,zipcode,country,tz,tz_offset,wikipedia_url,img_sat_url,img_logo_url,img_shot_url,website,nicknames,owner,operator,capacity,broke_ground,opened,closed,demolished,construction_cost,construction_cost_2023,renovation_years,expansion_years,architects,wins_l16,losses_l16,ties_l16,mov_l16,hfa_l16,wins_l80,losses_l80,ties_l80,mov_l80,hfa_l80,wins_all_time,losses_all_time,ties_all_time,mov_all_time,hfa_all_time
ARI,ARI,PHO99,False,Sun Devil Stadium,33.4264274,-111.9325752,360.1446707,14,1999-09-27,2005-12-24,Grass,Outdoors,500 East Veterans Way,Tempe,Arizona,85287,United States,America/Phoenix,-7,https://en.wikipedia.org/wiki/Mountain_America_Stadium,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/PHO99.png,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Sun_Devil_Stadium_-_Pac12_Championship.jpg/250px-Sun_Devil_Stadium_-_Pac12_Championship.jpg,https://thesundevils.com/facilities/frank-kush-field-sun-devil-stadium/12,House of Heat,Arizona State University,Arizona State University,53599.0,1958.0,1958,,,1000000.0,10600000.0,"2015, 2018","1966, 1970, 1976, 1977, 1989","Edward L. Varney Associates, HNTB",2.0,5.0,0.0,-2.571,4.479,17.0,20.0,0.0,-1.919,5.927,24.0,31.0,0.0,-4.127,2.83
ATL,ATL,ATL00,False,Georgia Dome,33.7576273,-84.4011555,303.5788722,270,1999-09-12,2017-01-22,Turf,Dome,1 Georgia Dome Drive Northwest,Atlanta,Georgia,30314,United States,America/New_York,-5,https://en.wikipedia.org/wiki/Georgia_Dome,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/ATL00.png,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Georgia_Dome.svg/220px-Georgia_Dome.svg.png,,,Georgia World Congress Center Authority,Georgia World Congress Center Authority,71228.0,1989.0,1992,2017.0,2017.0,214000000.0,465000000.0,,,"Heery International, Rosser FABRAP International, tvsdesign",5.0,2.0,0.0,9.286,8.186,20.0,17.0,0.0,3.081,2.088,82.0,61.0,0.0,1.678,2.113
BUF,BUF,BUF01,False,Rogers Centre,43.6416586,-79.3890887,81.97497847,73,2008-12-07,2013-12-01,Turf,Dome,1 Blue Jays Way,Toronto,Ontario,M5V 1J1,Canada,America/Toronto,-5,https://en.wikipedia.org/wiki/Rogers_Centre,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/BUF01.png,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Rogers_Centre.svg/200px-Rogers_Centre.svg.png,,SkyDome,Rogers Communications,Rogers Stadium Limited Partnership,39150.0,1986.0,1989,,,,,"2022, 2024",,"Rod Robbie, Populous",0.0,1.0,0.0,-33.0,-26.892,1.0,3.0,0.0,-4.75,-2.897,1.0,3.0,0.0,-4.75,-2.897
CHI,CHI,CHI99,False,Memorial Stadium (Champaign),40.0992975,-88.2359533,223.1597063,359,2002-09-08,2002-12-29,Turf,Outdoors,1402 South 1st Street,Champaign,Illinois,61820,United States,America/Chicago,-6,https://en.wikipedia.org/wiki/Memorial_Stadium_(University_of_Illinois),https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/CHI99.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Illinois_Fighting_Illini_logo.svg/40px-Illinois_Fighting_Illini_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Memorial_Stadium.jpg/250px-Memorial_Stadium.jpg,https://fightingillini.com/facilities/memorial-stadium/64,Zuppke Field,University of Illinois,University of Illinois,,1922.0,1923,,,1700000.0,30400000.0,"1985, 2008, 2013",1930,"Holabird & Roche, HNTB",2.0,5.0,0.0,-4.714,-0.65,3.0,5.0,0.0,-3.625,-0.062,3.0,5.0,0.0,-3.625,-0.062
CIN,CIN,CIN99,False,Cinergy Field,39.0965535,-84.5084173,149.7403236,292,1999-09-19,1999-12-12,Turf,Outdoors,201 East Pete Rose Way,Cincinnati,Ohio,45202,United States,America/New_York,-5,https://en.wikipedia.org/wiki/Riverfront_Stadium,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/CIN99.png,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Riverfront_Stadium_in_Cincinnati%2C_Ohio.jpg/220px-Riverfront_Stadium_in_Cincinnati%2C_Ohio.jpg,,"The Home of the Big Red Machine, The Jungle",City of Cincinnati,,52952.0,1968.0,1970,2002.0,2002.0,45000000.0,353000000.0,,,"Heery & Heery, FABRAP",2.0,6.0,0.0,-10.375,-7.816,2.0,6.0,0.0,-10.375,-7.816,2.0,6.0,0.0,-10.375,-7.816
DAL,DAL,DAL99,False,Texas Stadium,32.8398075,-96.9108917,135.3096507,40,1999-09-20,2008-12-20,Turf,Outdoors,2401 East Airport Freeway,Irving,Texas,77461,United States,America/Chicago,-6,https://en.wikipedia.org/wiki/Texas_Stadium,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/DAL99.png,https://upload.wikimedia.org/wikipedia/en/9/9f/TexStadLogo.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Texas_Stadium.jpeg/280px-Texas_Stadium.jpeg,,,City of Irving,Texas Stadium Corp,65675.0,1969.0,1971,2008.0,2010.0,35000000.0,263000000.0,,,A. Warren Morey,6.0,2.0,0.0,7.0,3.803,24.0,15.0,0.0,4.0,3.13,49.0,31.0,0.0,3.338,4.082
DEN,DEN,DEN99,False,Mile High Stadium,39.7460024,-105.0216427,1588.248748,0,1999-09-13,2000-12-23,Grass,Outdoors,2755 West 17th Avenue,Denver,Colorado,80204,United States,America/Denver,-7,https://en.wikipedia.org/wiki/Mile_High_Stadium,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/DEN99.png,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Denver_Mile_High_Stadium_postcard_%28c._1970s-1980s%29.jpg/275px-Denver_Mile_High_Stadium_postcard_%28c._1970s-1980s%29.jpg,,,"City & County of Denver (1968–2001) Rocky Mountain Sports, Inc. ( Denver Bears / Broncos , 1948–1968)",Denver Parks and Recreation,76273.0,1947.0,1948,2001.0,2002.0,,,,"1959, 1968, 1976, 1977, 1986",,6.0,2.0,0.0,11.5,8.316,9.0,7.0,0.0,5.312,3.943,9.0,7.0,0.0,5.312,3.943
DET,DET,DET99,False,Pontiac Silverdome,42.6457766,-83.2549503,271.7969791,313,1999-09-19,2002-01-06,Turf,Dome,1200 Featherstone Road,Pontaic,Michigan,48342,United States,America/Detroit,-5,https://en.wikipedia.org/wiki/Pontiac_Silverdome,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/DET99.png,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Silverdome_logo.png/220px-Silverdome_logo.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Silverdome_2.jpg/250px-Silverdome_2.jpg,,,"Andreas Apostolopoulos, Triple Investment Group",Triple Sports & Entertainment,82000.0,1973.0,1975,2006.0,2017.0,55700000.0,382000000.0,,,O'Dell/Hewlett & LuckenbachC. Don Davidson,2.0,6.0,0.0,-7.875,-0.939,12.0,12.0,0.0,-1.583,0.945,12.0,12.0,0.0,-1.583,0.945
IND,IND,IND99,False,RCA Dome,39.7636251,-86.163448,216.3601717,272,1999-09-12,2008-01-13,Turf,Dome,100 South Capitol Avenue,Indianapolis,Indiana,46225,United States,America/Indianapolis,-5,https://en.wikipedia.org/wiki/RCA_Dome,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/IND99.png,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Rcadomelogo.jpg/200px-Rcadomelogo.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Indianapolis-indiana-rca-dome.jpg/250px-Indianapolis-indiana-rca-dome.jpg,,,Capital Improvement Board,Capital Improvement Board,60127.0,1982.0,1984,2008.0,2008.0,77500000.0,227000000.0,,,HNTB,5.0,2.0,0.0,8.0,-1.029,31.0,7.0,0.0,10.605,1.658,54.0,18.0,0.0,8.528,2.608
LAC,SD,SDG00,False,Qualcomm Stadium,32.7832189,117.1195919,16.18299852,291,1999-09-26,2017-01-01,Grass,Outdoors,"5343 Adobe Falls Road,  Grantville,  Allied Gardens",San Diego,California,92120,United States,America/Los_Angeles,-8,https://en.wikipedia.org/wiki/San_Diego_Stadium,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/SDG00.png,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Qualcomm_Stadium.jpg/250px-Qualcomm_Stadium.jpg,,"The Q, The Murph",San Diego State University,San Diego State University,70561.0,1965.0,1967,2020.0,2021.0,27750000.0,254000000.0,,,Frank L. Hope and Associates,3.0,5.0,0.0,1.5,4.461,18.0,20.0,0.0,1.0,0.857,83.0,60.0,0.0,4.343,3.243
